"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Own"
"Elieser Hernandez","MIA","SP,RP","51.4","39","0","0","2","5.88","1.61","34","61","21","11","36","2","4","0%"
"Sandy Baez","DET","RP","42.2","30","0","0","2","6.00","1.60","28","47","20","10","27","1","3","0%"
"Jesus Castillo","LAA","RP","50.3","31","0","0","2","4.99","1.45","28","57","17","11","24","3","4",""
"Corbin Martin","HOU","SP,RP","66.6","53","0","0","2","4.78","1.41","35","70","24","18","22","4","4",""
"Gregory Soto","DET","SP,RP","53.6","41","0","0","2","5.34","1.80","32","55","42","6","22","3","4",""
"Kodi Medeiros","CWS","SP,RP","46.9","40","0","0","2","4.87","1.60","25","48","27","7","18","2","3",""
"Brad Boxberger","KC","RP","55.1","67","22","9","3","4.35","1.41","27","48","30","8","58","3","3","27%"
"Mike Montgomery","CHC","SP,RP","78.8","61","0","0","3","3.92","1.34","34","77","28","8","56","4","4","1%"
"Junior Guerra","MIL","SP,RP","69.8","67","0","0","3","4.19","1.34","32","64","29","11","47","3","4","1%"
"David Paulino","TOR","SP,RP","48.4","50","0","0","3","4.27","1.32","23","49","15","6","40","3","2","0%"
"Max Fried","ATL","SP,RP","48.8","51","0","0","3","3.98","1.44","22","45","26","6","25","3","3","1%"
"Austin Gomber","STL","SP,RP","55.4","49","0","0","3","4.33","1.43","27","57","22","7","17","4","4","1%"
"Matt Bush","TEX","RP","39.4","39","0","0","3","4.00","1.37","18","38","16","5","39","3","2","0%"
"Matt Wisler","CIN","SP,RP","55.3","46","0","0","3","4.52","1.28","28","56","15","9","33","3","3","0%"
"Cionel Perez","HOU","RP","44.4","45","0","0","3","4.23","1.43","21","44","20","6","36","3","2","0%"
"Gabriel Moya","MIN","RP","44.2","42","0","0","3","4.50","1.36","22","44","16","7","49","2","2","0%"
"Zach McAllister","TEX","RP","41.8","40","1","0","3","4.43","1.34","21","43","13","6","34","2","2","0%"
"Bobby Wahl","MIL","RP","26.4","36","0","0","3","3.97","1.37","12","21","15","4","28","2","2","0%"
"Grant Dayton","ATL","RP","24.3","28","0","0","3","3.81","1.23","10","21","9","3","25","2","1","0%"
"Luke Jackson","ATL","RP","35.2","36","0","0","3","3.96","1.44","15","33","18","3","29","2","1","0%"
"Paul Sewald","NYM","RP","41.2","42","1","0","3","4.67","1.36","21","41","15","6","33","2","3","0%"
"Jorge De La Rosa","","RP","46.9","40","0","0","3","4.35","1.44","23","46","22","6","46","2","2","0%"
"Yimi Garcia","LAD","RP","22.1","20","0","0","3","4.69","1.27","12","23","5","4","24","1","1","0%"
"Chad Bettis","COL","SP,RP","64.9","46","0","0","3","4.96","1.43","36","70","23","10","41","3","3","0%"
"John Axford","TOR","RP","28.6","28","0","0","3","4.42","1.46","14","29","13","3","26","1","2","0%"
"Brett Cecil","STL","RP","41.2","34","0","0","3","4.71","1.49","22","43","18","5","45","2","2","0%"
"Cody Carroll","BAL","RP","39.6","40","0","0","3","5.24","1.55","23","38","23","5","33","1","2","0%"
"Jose Fernandez","DET","RP","30.3","25","0","0","3","5.12","1.59","17","30","18","4","31","1","2","0%"
"Walker Lockett","NYM","SP,RP","54.8","43","0","0","3","4.33","1.34","26","57","16","9","21","3","3",""
"Brad Peacock","HOU","RP,SP","96.1","118","1","0","4","3.69","1.25","39","84","36","13","48","6","4","15%"
"Brandon Morrow","CHC","RP","44.7","47","22","4","4","3.25","1.21","16","40","14","5","46","2","2","48%"
"Blaine Hardy","DET","SP,RP","56.8","47","0","0","4","3.83","1.25","24","55","16","8","39","3","2","0%"
"Jimmie Sherfy","ARI","RP","43.6","50","1","0","4","3.52","1.30","17","36","21","5","44","3","2","0%"
"Dan Otero","CLE","RP","52.6","39","1","0","4","3.92","1.23","23","56","8","6","51","3","2","0%"
"Noe Ramirez","LAA","RP","49.0","55","1","0","4","4.15","1.28","23","44","19","7","43","3","3","0%"
"Josh Fields","","RP","40.9","40","0","0","4","3.74","1.18","17","36","13","6","43","2","2","1%"
"Ray Black","SF","RP","36.7","54","1","0","4","4.06","1.22","17","26","19","4","42","3","2","0%"
"J.B. Wendelken","OAK","RP","42.0","45","0","0","4","3.74","1.29","17","37","17","5","42","2","2","0%"
"Trent Thornton","TOR","RP","53.4","46","0","0","4","4.46","1.30","26","57","13","9","28","3","3","0%"
"Hector Velazquez","BOS","SP,RP","63.9","45","0","0","4","4.31","1.40","31","69","20","9","42","4","3","1%"
"J.T. Chargois","LAD","RP","28.1","30","0","0","4","3.63","1.35","11","25","13","3","33","2","1","0%"
"Ruben Alaniz","SEA","RP","42.8","43","0","0","4","4.12","1.39","20","41","19","5","45","2","2","0%"
"Daniel Hudson","LAA","RP","34.5","34","0","0","4","4.10","1.36","16","32","15","4","30","2","2","0%"
"Nick Wittgren","CLE","RP","31.8","30","1","0","4","4.18","1.35","15","32","11","5","31","2","2","0%"
"Matt Festa","SEA","RP","37.9","36","0","0","4","4.07","1.40","17","41","13","5","36","2","2","0%"
"Sam Tuivailala","SEA","RP","28.6","26","0","0","4","3.98","1.37","13","28","11","3","27","2","1","0%"
"Riley Ferrell","MIA","RP","46.9","48","0","0","4","4.24","1.45","22","44","24","5","43","2","2","0%"
"T.J. McFarland","ARI","RP","48.7","29","1","0","4","3.97","1.44","22","53","17","4","41","3","2","0%"
"Jason Adam","","SP,RP","38.6","42","0","0","4","4.90","1.39","21","35","19","6","35","2","2","0%"
"Mike Wright Jr.","BAL","RP","65.6","57","0","0","4","4.91","1.46","36","71","25","9","40","2","4","0%"
"Jordan Romano","TEX","RP","59.6","49","0","0","4","5.13","1.47","34","61","26","10","34","3","4","0%"
"Dovydas Neverauskas","PIT","RP","34.5","35","0","0","4","4.86","1.46","19","33","18","5","32","1","2","0%"
